Home gNB ID,Home Cell ID,Home Cell Global cell Id,Neighbor Cell Info
1397593,5G-HPE002-35-MA,357783979,auto358464939
1397593,5G-HPE002-35-MA,357783979,auto358030509
1397593,5G-HPE002-35-MA,357783979,auto358497708
1397593,5G-HPE002-35-MA,357783979,auto357841836
1397593,5G-HPE002-35-MA,357783979,auto358524333
1397593,5G-HPE002-35-MA,357783979,auto358511787
1397593,5G-HPE002-35-MA,357783979,auto358515885
1397593,5G-HPE002-35-MA,357783979,auto358126252
1397593,5G-HPE002-35-MA,357783979,auto358515883
1397593,5G-HPE002-35-MA,357783979,auto357836716
1397593,5G-HPE002-35-MA,357783979,auto358487723
1397593,5G-HPE002-35-MA,357783979,auto358075821
1397593,5G-HPE002-35-MA,357783979,auto357785515
1397593,5G-HPE002-35-MA,357783979,auto358515884
1397593,5G-HPE002-35-MA,357783979,auto358511789
1397593,5G-HPE002-35-MA,357783979,72404-1397819-173
1397593,5G-HPE002-35-MA,357783979,72404-1397819-171
1397593,5G-HPE002-35-MA,357783979,auto358079661
1397593,5G-HPE002-35-MA,357783979,auto358436267
1397593,5G-HPE002-35-MA,357783979,auto358079659
1397593,5G-HPE002-35-MA,357783979,auto357803437
1397593,5G-HPE002-35-MA,357783979,auto358520491
1397593,5G-HPE002-35-MA,357783979,auto358487724
1397593,5G-HPE002-35-MA,357783979,auto358487725
1397593,5G-HPE002-35-MA,357783979,auto358107051
1397593,5G-HPE002-35-MA,357783979,auto358529708
1397593,5G-HPE002-35-MA,357783979,72404-1397599-172
1397593,5G-HPE002-35-MA,357783979,72404-1400487-173
1397593,5G-HPE002-35-MA,357783979,72404-1397593-173
1397593,5G-HPE002-35-MA,357783979,72404-1400496-173
1397593,5G-HPE002-35-MA,357783979,72404-1397593-172
1397593,5G-HPE002-35-MA,357783979,72404-1400496-171
1397593,5G-HPE002-35-MA,357783979,72404-1400496-172
1397593,5G-HPE002-35-MA,357783979,72404-1400506-171
1397593,5G-HPE002-35-MC,357783981,72404-1400436-172
1397593,5G-HPE002-35-MC,357783981,auto358113709
1397593,5G-HPE002-35-MC,357783981,auto358532524
1397593,5G-HPE002-35-MC,357783981,auto358473131
1397593,5G-HPE002-35-MC,357783981,auto358020012
1397593,5G-HPE002-35-MC,357783981,auto358043819
1397593,5G-HPE002-35-MC,357783981,auto358428844
1397593,5G-HPE002-35-MC,357783981,auto358524845
1397593,5G-HPE002-35-MC,357783981,auto358464939
1397593,5G-HPE002-35-MC,357783981,auto358482092
1397593,5G-HPE002-35-MC,357783981,auto357834411
1397593,5G-HPE002-35-MC,357783981,auto358515628
1397593,5G-HPE002-35-MC,357783981,auto358043821
1397593,5G-HPE002-35-MC,357783981,auto358435501
1397593,5G-HPE002-35-MC,357783981,auto358512045
1397593,5G-HPE002-35-MC,357783981,auto358043820
1397593,5G-HPE002-35-MC,357783981,auto358020013
1397593,5G-HPE002-35-MC,357783981,auto358497708
1397593,5G-HPE002-35-MC,357783981,auto357982379
1397593,5G-HPE002-35-MC,357783981,auto357987244
1397593,5G-HPE002-35-MC,357783981,auto358502571
1397593,5G-HPE002-35-MC,357783981,auto358446763
1397593,5G-HPE002-35-MC,357783981,auto358488236
1397593,5G-HPE002-35-MC,357783981,72404-1398516-172
1397593,5G-HPE002-35-MC,357783981,auto357834412
1397593,5G-HPE002-35-MC,357783981,auto357834413
1397593,5G-HPE002-35-MC,357783981,auto358532523
1397593,5G-HPE002-35-MC,357783981,auto358527147
1397593,5G-HPE002-35-MC,357783981,auto358531245
1397593,5G-HPE002-35-MC,357783981,auto358448556
1397593,5G-HPE002-35-MC,357783981,auto358531244
1397593,5G-HPE002-35-MC,357783981,auto358511276
1397593,5G-HPE002-35-MC,357783981,auto358079660
1397593,5G-HPE002-35-MC,357783981,auto358531243
1397593,5G-HPE002-35-MC,357783981,auto358435500
1397593,5G-HPE002-35-MC,357783981,auto358126252
1397593,5G-HPE002-35-MC,357783981,auto358523564
1397593,5G-HPE002-35-MC,357783981,auto358511789
1397593,5G-HPE002-35-MC,357783981,auto357841835
1397593,5G-HPE002-35-MC,357783981,72404-1397819-172
1397593,5G-HPE002-35-MC,357783981,72404-1397819-173
1397593,5G-HPE002-35-MC,357783981,auto358107053
1397593,5G-HPE002-35-MC,357783981,auto358511787
1397593,5G-HPE002-35-MC,357783981,auto358470828
1397593,5G-HPE002-35-MC,357783981,auto358079661
1397593,5G-HPE002-35-MC,357783981,auto358488235
1397593,5G-HPE002-35-MC,357783981,auto358529709
1397593,5G-HPE002-35-MC,357783981,72404-1397593-171
1397593,5G-HPE002-35-MC,357783981,72404-1397593-172
1397593,5G-HPE002-35-MC,357783981,72404-1400496-172
1397593,5G-HPE002-35-MC,357783981,72404-1400500-172
1397593,5G-HPE002-35-MC,357783981,auto358527149
1397593,5G-HPE002-35-MC,357783981,auto358529708
1397593,5G-HPE002-35-MB,357783980,72404-1400436-171
1397593,5G-HPE002-35-MB,357783980,auto357841837
1397593,5G-HPE002-35-MB,357783980,auto358030509
1397593,5G-HPE002-35-MB,357783980,auto358020011
1397593,5G-HPE002-35-MB,357783980,72404-1397790-172
1397593,5G-HPE002-35-MB,357783980,auto358511789
1397593,5G-HPE002-35-MB,357783980,auto358519981
1397593,5G-HPE002-35-MB,357783980,auto358113708
1397593,5G-HPE002-35-MB,357783980,auto358113707
1397593,5G-HPE002-35-MB,357783980,auto358502828
1397593,5G-HPE002-35-MB,357783980,auto357792171
1397593,5G-HPE002-35-MB,357783980,auto358126252
1397593,5G-HPE002-35-MB,357783980,auto357792172
1397593,5G-HPE002-35-MB,357783980,auto357792173
1397593,5G-HPE002-35-MB,357783980,auto358525613
1397593,5G-HPE002-35-MB,357783980,auto358459309
1397593,5G-HPE002-35-MB,357783980,72404-1398354-173
1397593,5G-HPE002-35-MB,357783980,72404-1397819-172
1397593,5G-HPE002-35-MB,357783980,72404-1397819-171
1397593,5G-HPE002-35-MB,357783980,auto358113709
1397593,5G-HPE002-35-MB,357783980,auto358523565
1397593,5G-HPE002-35-MB,357783980,auto358470828
1397593,5G-HPE002-35-MB,357783980,auto358435500
1397593,5G-HPE002-35-MB,357783980,auto358435499
1397593,5G-HPE002-35-MB,357783980,auto358448557
1397593,5G-HPE002-35-MB,357783980,auto358524844
1397593,5G-HPE002-35-MB,357783980,auto358504108
1397593,5G-HPE002-35-MB,357783980,72404-1400496-172
1397593,5G-HPE002-35-MB,357783980,72404-1397593-173
1397593,5G-HPE002-35-MB,357783980,72404-1397593-171
1397593,5G-HPE002-35-MB,357783980,auto358079659
1397593,5G-HPE002-35-MB,357783980,auto358107052
1397593,5G-HPE002-35-MB,357783980,auto358079661
1397593,5G-HPE002-35-MB,357783980,auto358107053
1397593,5G-HPE002-35-MB,357783980,auto358107051
1397593,5G-HPE002-35-MB,357783980,auto358502829
1397593,5G-HPE002-35-MB,357783980,auto358477996
1397593,5G-HPE002-35-MB,357783980,auto358511276
1397593,5G-HPE002-35-MB,357783980,auto358079660
1397593,5G-HPE002-35-MB,357783980,auto358488235
1397593,5G-HPE002-35-MB,357783980,auto358528172
1397593,5G-HPE002-35-MB,357783980,auto358435501
1400512,5G-HPE001-35-MB,358531244,72404-1397790-173
1400512,5G-HPE001-35-MB,358531244,auto358446763
1400512,5G-HPE001-35-MB,358531244,auto358502571
1400512,5G-HPE001-35-MB,358531244,auto358529709
1400512,5G-HPE001-35-MB,358531244,auto358030509
1400512,5G-HPE001-35-MB,358531244,auto358497708
1400512,5G-HPE001-35-MB,358531244,auto357783981
1400512,5G-HPE001-35-MB,358531244,auto358473133
1400512,5G-HPE001-35-MB,358531244,auto358532523
1400512,5G-HPE001-35-MB,358531244,auto358435501
1400512,5G-HPE001-35-MB,358531244,auto358126252
1400512,5G-HPE001-35-MB,358531244,72404-1397819-172
1400512,5G-HPE001-35-MB,358531244,72404-1397790-172
1400512,5G-HPE001-35-MB,358531244,72404-1397790-171
1400512,5G-HPE001-35-MB,358531244,auto358511789
1400512,5G-HPE001-35-MB,358531244,72404-1400436-172
1400512,5G-HPE001-35-MB,358531244,72404-1400436-171
1400512,5G-HPE001-35-MB,358531244,72404-1400512-173
1400512,5G-HPE001-35-MB,358531244,72404-1400512-171
1400512,5G-HPE001-35-MB,358531244,auto358527149
1400512,5G-HPE001-35-MB,358531244,auto358488235
1400512,5G-HPE001-35-MB,358531244,auto358079661
1400512,5G-HPE001-35-MB,358531244,auto358527148
1400512,5G-HPE001-35-MB,358531244,auto358107053
1400512,5G-HPE001-35-MB,358531244,auto358487725
1400512,5G-HPE001-35-MB,358531244,auto358528172
1400512,5G-HPE001-35-MB,358531244,auto358488236
1400512,5G-HPE001-35-MB,358531244,auto358523564
1400512,5G-HPE001-35-MB,358531244,auto358470828
1400512,5G-HPE001-35-MC,358531245,72404-1397790-171
1400512,5G-HPE001-35-MC,358531245,auto358446763
1400512,5G-HPE001-35-MC,358531245,auto358043819
1400512,5G-HPE001-35-MC,358531245,auto358482092
1400512,5G-HPE001-35-MC,358531245,auto358030509
1400512,5G-HPE001-35-MC,358531245,auto358043821
1400512,5G-HPE001-35-MC,358531245,72404-1398516-173
1400512,5G-HPE001-35-MC,358531245,auto358109869
1400512,5G-HPE001-35-MC,358531245,auto358529709
1400512,5G-HPE001-35-MC,358531245,auto357783981
1400512,5G-HPE001-35-MC,358531245,auto358511789
1400512,5G-HPE001-35-MC,358531245,auto358487725
1400512,5G-HPE001-35-MC,358531245,auto358473133
1400512,5G-HPE001-35-MC,358531245,auto357841836
1400512,5G-HPE001-35-MC,358531245,auto358497708
1400512,5G-HPE001-35-MC,358531245,auto357834413
1400512,5G-HPE001-35-MC,358531245,auto358435501
1400512,5G-HPE001-35-MC,358531245,72404-1400436-172
1400512,5G-HPE001-35-MC,358531245,auto358527149
1400512,5G-HPE001-35-MC,358531245,auto358477996
1400512,5G-HPE001-35-MC,358531245,auto358524845
1400512,5G-HPE001-35-MC,358531245,auto358520492
1400512,5G-HPE001-35-MC,358531245,auto358126252
1400512,5G-HPE001-35-MC,358531245,auto358505644
1400512,5G-HPE001-35-MC,358531245,auto358532525
1400512,5G-HPE001-35-MC,358531245,auto358473131
1400512,5G-HPE001-35-MC,358531245,auto358511019
1400512,5G-HPE001-35-MC,358531245,auto358511021
1400512,5G-HPE001-35-MC,358531245,auto358107053
1400512,5G-HPE001-35-MC,358531245,auto358473132
1400512,5G-HPE001-35-MC,358531245,auto358527148
1400512,5G-HPE001-35-MC,358531245,auto358502571
1400512,5G-HPE001-35-MC,358531245,auto358532524
1400512,5G-HPE001-35-MC,358531245,auto358523563
1400512,5G-HPE001-35-MC,358531245,auto358523565
1400512,5G-HPE001-35-MC,358531245,auto358505645
1400512,5G-HPE001-35-MC,358531245,72404-1400512-171
1400512,5G-HPE001-35-MC,358531245,72404-1400512-172
