nCI,Start_Time,End_Time,Duration_Minutes,Recommendation
357783981,2025-07-01 01:00:00,2025-07-01 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-07-02 01:00:00,2025-07-02 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-07-03 01:15:00,2025-07-03 05:30:00,270,Shut Down (Low Utilization)
357783981,2025-07-04 01:15:00,2025-07-04 02:45:00,105,Shut Down (Low Utilization)
357783981,2025-07-04 03:45:00,2025-07-04 05:15:00,105,Shut Down (Low Utilization)
357783981,2025-07-05 01:15:00,2025-07-05 02:30:00,90,Shut Down (Low Utilization)
357783981,2025-07-05 04:00:00,2025-07-05 04:45:00,60,Shut Down (Low Utilization)
357783981,2025-07-08 01:00:00,2025-07-08 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-07-09 01:00:00,2025-07-09 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-07-10 01:15:00,2025-07-10 05:30:00,270,Shut Down (Low Utilization)
357783981,2025-07-11 01:15:00,2025-07-11 02:45:00,105,Shut Down (Low Utilization)
357783981,2025-07-11 03:45:00,2025-07-11 05:15:00,105,Shut Down (Low Utilization)
357783981,2025-07-12 01:15:00,2025-07-12 02:30:00,90,Shut Down (Low Utilization)
357783981,2025-07-12 04:15:00,2025-07-12 04:45:00,45,Shut Down (Low Utilization)
357783981,2025-07-15 01:00:00,2025-07-15 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-07-16 01:00:00,2025-07-16 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-07-17 01:15:00,2025-07-17 05:30:00,270,Shut Down (Low Utilization)
357783981,2025-07-18 01:15:00,2025-07-18 02:45:00,105,Shut Down (Low Utilization)
357783981,2025-07-18 03:45:00,2025-07-18 05:15:00,105,Shut Down (Low Utilization)
357783981,2025-07-19 01:15:00,2025-07-19 02:30:00,90,Shut Down (Low Utilization)
357783981,2025-07-19 04:15:00,2025-07-19 04:45:00,45,Shut Down (Low Utilization)
357783981,2025-07-22 01:00:00,2025-07-22 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-07-23 01:00:00,2025-07-23 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-07-24 01:15:00,2025-07-24 05:30:00,270,Shut Down (Low Utilization)
357783981,2025-07-25 01:15:00,2025-07-25 02:45:00,105,Shut Down (Low Utilization)
357783981,2025-07-25 03:45:00,2025-07-25 05:15:00,105,Shut Down (Low Utilization)
357783981,2025-07-26 01:15:00,2025-07-26 02:30:00,90,Shut Down (Low Utilization)
357783981,2025-07-26 04:15:00,2025-07-26 04:45:00,45,Shut Down (Low Utilization)
357783981,2025-07-29 01:00:00,2025-07-29 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-07-30 01:00:00,2025-07-30 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-07-31 01:15:00,2025-07-31 05:30:00,270,Shut Down (Low Utilization)
357783981,2025-08-01 01:15:00,2025-08-01 02:45:00,105,Shut Down (Low Utilization)
357783981,2025-08-01 03:45:00,2025-08-01 05:15:00,105,Shut Down (Low Utilization)
357783981,2025-08-02 01:15:00,2025-08-02 02:30:00,90,Shut Down (Low Utilization)
357783981,2025-08-02 04:15:00,2025-08-02 04:45:00,45,Shut Down (Low Utilization)
357783981,2025-08-05 01:00:00,2025-08-05 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-08-06 01:00:00,2025-08-06 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-08-07 01:15:00,2025-08-07 05:30:00,270,Shut Down (Low Utilization)
357783981,2025-08-08 01:15:00,2025-08-08 02:45:00,105,Shut Down (Low Utilization)
357783981,2025-08-08 03:45:00,2025-08-08 05:15:00,105,Shut Down (Low Utilization)
357783981,2025-08-09 01:15:00,2025-08-09 02:30:00,90,Shut Down (Low Utilization)
357783981,2025-08-09 04:15:00,2025-08-09 04:45:00,45,Shut Down (Low Utilization)
357783981,2025-08-12 01:00:00,2025-08-12 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-08-13 01:00:00,2025-08-13 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-08-14 01:15:00,2025-08-14 05:30:00,270,Shut Down (Low Utilization)
357783981,2025-08-15 01:15:00,2025-08-15 02:45:00,105,Shut Down (Low Utilization)
357783981,2025-08-15 03:45:00,2025-08-15 05:15:00,105,Shut Down (Low Utilization)
357783981,2025-08-16 01:15:00,2025-08-16 02:30:00,90,Shut Down (Low Utilization)
