Cell,KPI,Accuracy(%)
357783981,DL_Prb_Utilization,79.5
357783979,DL_Prb_Utilization,79.85
357783980,DL_Prb_Utilization,80.38
358531244,DL_Prb_Utilization,79.75
358531245,DL_Prb_Utilization,80.46
358531243,DL_Prb_Utilization,79.72
