Cell,KPI,Accuracy(%)
357783981,DL_Prb_Utilization,83.66
357783979,DL_Prb_Utilization,83.19
357783980,DL_Prb_Utilization,84.17
358531244,DL_Prb_Utilization,83.78
358531245,DL_Prb_Utilization,84.0
358531243,DL_Prb_Utilization,83.68
