Cell,KPI,Accuracy(%)
357783981,Avg_UE_Number,82.48
357783979,Avg_UE_Number,82.81
357783980,Avg_UE_Number,83.13
358531244,Avg_UE_Number,82.02
358531245,Avg_UE_Number,82.42
358531243,Avg_UE_Number,82.46
